Designator,Mid X,Mid Y,Rotation,Layer
C1,15.9,-33.3,180.0,top
C10,18.05,-18.5,0.0,top
C11,20.95,-8.225,270.0,top
C12,19.6,-8.05,270.0,top
C13,15.5,-8.2,0.0,top
C14,47.35,-35.05,90.0,top
C15,47.33,-38.65,90.0,top
C16,6.6,-20.7,270.0,top
C17,4.25,-11.25,0.0,top
C18,16.3,-30.3,180.0,top
C19,2.7,-21.85,90.0,top
C2,42.6,-24.6,270.0,top
C20,37.85,-32.2,90.0,top
C21,21.02,-15.45,180.0,top
C22,37.7625,-45.2,0.0,top
C23,37.7625,-41.8,0.0,top
C24,37.5125,-39.1,0.0,top
C25,17.7,-36.25,0.0,top
C4,48.07,-48.55,180.0,top
C5,17.7,-35.25,0.0,top
C6,18.05,-38.75,90.0,top
C7,12.4,-41.2,270.0,top
C8,21.0,-11.4,180.0,top
C9,50.95,-31.55,90.0,top
D1,20.6,-44.5,0.0,top
D2,30.6,-44.5,0.0,top
D3,16.845,-31.8,0.0,top
D4,44.5,-36.85,90.0,top
D5,25.6,-44.5,0.0,top
J1,5.15,-42.9,0.0,top
J3,24.5,-54.96095,180.0,top
L1,15.6,-40.5,180.0,top
L2,48.3,-32.1,180.0,top
R1,22.75,-40.8,0.0,top
R10,3.15,-13.35,270.0,top
R11,13.545,-21.225,270.0,top
R12,4.45,-16.3,180.0,top
R13,5.445,-20.515,90.0,top
R14,38.05,-29.7,90.0,top
R15,25.3375,-33.6,0.0,top
R16,37.1,-34.55,270.0,top
R17,36.05,-34.55,270.0,top
R18,21.02,-14.45,180.0,top
R19,35.0,-34.55,270.0,top
R2,31.25,-40.8,180.0,top
R20,25.2875,-30.05,0.0,top
R21,10.4,-37.25,0.0,top
R22,10.4,-36.2,0.0,top
R23,20.97,-16.5,180.0,top
R24,48.05,-47.3,180.0,top
R3,14.35,-32.2,90.0,top
R4,21.0,-10.3,0.0,top
R5,50.3,-37.15,0.0,top
R6,50.3,-38.2,180.0,top
R7,25.9,-40.7,180.0,top
R8,21.1,-19.05,180.0,top
R9,21.1,-20.3,180.0,top
RV1,29.5,-48.4,0.0,top
SW1,51.25,-25.95,90.0,top
SW2,51.25,-13.25,90.0,top
SW3,51.25,-47.3,90.0,top
SW4,1.75,-34.4,270.0,top
U1,14.1,-36.5,270.0,top
U10,29.6,-30.2,270.0,top
U11,40.6,-30.4,270.0,top
U12,33.1,-30.2,90.0,top
U13,22.1875,-30.05,180.0,top
U14,22.1875,-33.6,180.0,top
U2,32.05,-15.845,0.0,top
U3,50.2,-35.05,180.0,top
U4,15.35,-13.4,90.0,top
U5,5.35,-23.7,90.0,top
U6,5.3,-13.85,0.0,top
U7,14.895,-26.0,270.0,top
U8,5.15,-18.2,180.0,top
U9,36.1,-31.3,270.0,top
Y1,16.145,-20.975,180.0,top
