Ref,Val,Package,PosX,PosY,Rot,Side
"C2","100nF","C_0402_1005Metric",42.450000,-61.950000,90.000000,top
"C3","100nF","C_0402_1005Metric",34.900000,-54.900000,0.000000,top
"C4","100nF","C_0402_1005Metric",14.420000,-14.000000,180.000000,top
"C5","10uF","C_0805_2012Metric",10.600000,-12.750000,-90.000000,top
"C6","100nF","C_0402_1005Metric",31.662500,-57.680000,-90.000000,top
"C7","100nF","C_0402_1005Metric",17.300000,-9.700000,0.000000,top
"C8","10uF","C_0805_2012Metric",21.250000,-29.350000,90.000000,top
"C9","100nF","C_0402_1005Metric",23.800000,-88.700000,-90.000000,top
"C10","12pF","C_0402_1005Metric",21.690000,-38.000000,0.000000,top
"C11","10uF","C_0805_2012Metric",17.600000,-37.800000,-90.000000,top
"C12","10uF","C_0805_2012Metric",27.290000,-36.200000,180.000000,top
"C13","10uF","C_0805_2012Metric",19.150000,-29.350000,90.000000,top
"C15","10uF","C_0805_2012Metric",17.600000,-41.400000,90.000000,top
"C16","10uF","C_0805_2012Metric",22.000000,-45.000000,90.000000,top
"D1","LED","LED_0805_2012Metric",30.000000,-8.500000,90.000000,top
"D2","LED","LED_0805_2012Metric",30.000000,-3.500000,-90.000000,top
"D4","BAV70","SOT-23",32.350000,-67.550000,0.000000,top
"D5","LED","LED_0805_2012Metric",30.000000,-13.500000,90.000000,top
"D6","SS34","D_SMA",35.900000,-39.500000,0.000000,top
"J1","Conn_01x05","JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal",42.950000,-27.600000,90.000000,top
"J2","Conn_01x05","JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal",32.000000,-95.150000,0.000000,top
"J3","Conn_01x05","JST_PH_S5B-PH-K_1x05_P2.00mm_Horizontal",42.950000,-41.100000,90.000000,top
"J4","Conn_01x02","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",24.700000,-95.150000,0.000000,top
"J5","Conn_01x02","JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal",42.950000,-48.500000,90.000000,top
"J9","BAT","MY-18650-01",8.000000,-88.000000,90.000000,top
"J10","BAT","MY-18650-01",8.000000,-40.800000,-90.000000,top
"L1","1uH","WPN252010U",18.600000,-34.700000,0.000000,top
"L2","2.2uH","WPN252010U",27.090000,-34.000000,0.000000,top
"MOD1","ESP32_DEVKIT_V1","ESP32_DEVKIT_V1.0",33.250000,-73.920000,0.000000,top
"Q1","AO3400A","SOT-23",30.550000,-39.762500,90.000000,top
"R1","10k","R_0402_1005Metric",35.350000,-68.750000,0.000000,top
"R2","12mOhm","R_1206_3216Metric",34.000000,-53.200000,0.000000,top
"R3","0R","R_0402_1005Metric",34.810000,-37.100000,180.000000,top
"R4","330R","R_0402_1005Metric",9.000000,-11.900000,-90.000000,top
"R5","4.7k","R_0402_1005Metric",43.000000,-86.600000,0.000000,top
"R6","0R","R_0402_1005Metric",30.400000,-42.800000,-90.000000,top
"R7","0R","R_0402_1005Metric",36.800000,-37.100000,0.000000,top
"R8","10k","R_0402_1005Metric",15.200000,-9.700000,180.000000,top
"R9","10k","R_0402_1005Metric",12.200000,-11.300000,-90.000000,top
"R10","0R","R_0402_1005Metric",31.550000,-42.800000,90.000000,top
"R11","10k","R_0402_1005Metric",29.300000,-42.810000,-90.000000,top
"R12","100k","R_0402_1005Metric",31.650000,-47.800000,90.000000,top
"R13","100k","R_0402_1005Metric",31.150000,-46.300000,180.000000,top
"R14","330R","R_0402_1005Metric",23.650000,-44.600000,90.000000,top
"R15","10k","R_0402_1005Metric",23.000000,-86.150000,-90.000000,top
"R16","1k","R_0402_1005Metric",24.900000,-88.700000,-90.000000,top
"R17","2k","R_0603_1608Metric",24.500000,-40.450000,0.000000,top
"R18","100k","R_0402_1005Metric",21.690000,-39.100000,0.000000,top
"R19","510k","R_0402_1005Metric",17.100000,-29.500000,180.000000,top
"R20","22k","R_0402_1005Metric",23.690000,-38.000000,0.000000,top
"R21","68k","R_0402_1005Metric",17.100000,-30.550000,180.000000,top
"R22","10k","R_0402_1005Metric",42.450000,-66.810000,90.000000,top
"R23","4.7k","R_0402_1005Metric",43.400000,-71.850000,90.000000,top
"R24","4.7k","R_0402_1005Metric",40.500000,-67.700000,180.000000,top
"R25","330R","R_0402_1005Metric",32.700000,-14.400000,180.000000,top
"R26","50R","R_1206_3216Metric",37.600000,-54.400000,90.000000,top
"SW1","HFD4_5S","HDF4",35.710000,-46.900000,-90.000000,top
"SW2","SW_SPST","XKB5858-X-E",46.825000,-10.600000,-90.000000,top
"U1","TPS61023DRL","DRL0006A",18.350000,-32.250000,0.000000,top
"U2","INA180A4","SOT-23-5",34.312500,-57.200000,180.000000,top
"U3","BMP280","Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering",14.100000,-11.900000,90.000000,top
"U4","AGS10","AGS10",18.100000,-12.350000,90.000000,top
"U5","AHT20","AHT20",6.400000,-12.500000,180.000000,top
"U6","TP4057","SOT-23-6",20.862500,-41.400000,0.000000,top
"U7","RT8059GJ5","TSOT-23-5",23.290000,-35.700000,180.000000,top
"U9","PCF8563T","SOIC-8_3.9x4.9mm_P1.27mm",38.125000,-64.355000,0.000000,top
"Y1","32.768kHz","Crystal_SMD_3215-2Pin_3.2x1.5mm",33.125000,-63.700000,-90.000000,top
